name,code,url,description,price,type,panel,powersupply,width,depth,height,weight,trays,traysize,distancebetweentrays,voltage,electricpower,frequency,consumption,performance,performancetimes,features,featuredescription
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0311-EPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0311-eprm/,"CHEFTOP MIND.MapsPLUSisthe intelligent combi oven that grills, fries, roasts, browns, smokes, cooks with steam and much more. Its automatic cooking cycles and intelligent functions create impeccable and consistent results.","4,600.00",Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750 mm,783 mm,538 mm,56 kg,3,GN 1/1,67 mm,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,5 kW,50 / 60 Hz,16 kWh/day,"Full loadof crunchy bacon,Full loadof grilled pork chops,Full loadof steamed rice,Full loadof steamed potatoes,Full load of roastedchickens (1.3 kg),Plateregeneration,Full loadof puff pastry,Full loadof fresh focaccia","6 minutes,8 minutes,24 minutes,24 minutes,39 minutes,12 minutes,20 minutes,25 minutes","CLIMALUX,DRY.Plus,STEAM.Plus,AIR.Plus,DRY.Maxi,STEAM.Maxi,AIR.Maxi,EFFICENT.Power,ADAPTIVE.Cooking,CLIMALUX,SMART.Preheating,AUTO.Soft,SENSE.Klean,AUTO.Matic,DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Total humidity control.,Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Humidity gives way to flavour.,The power of steam is in your hands.,Conducts, unites, transforms.,Power and efficiency.,Perfect results. Every time.,Total humidity control.,Intelligent preheating.,Gentle cooking function.,Intelligent cleaning.,Automatic door opening.,Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
CHEFTOP MIND.Maps COUNTERTOP ONE,XEVC-0311-E1RM,https://unox.com/en_fr/ovens/cheftop-mindmaps-one-xevc-0311-e1rm/,"CHEFTOP MIND.MapsONEis the combined oven with which you can realize all your ambitions. Grills, fries, roasts, cook with steam and much more. In a simple and intuitive way. As you like.","3,900.00",Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750 mm,783 mm,538 mm,54 kg,3,GN 1/1,67 mm,380-415V 3N~ / 220-240V 3~ / 220-240V 1N~,5 kW,50 / 60 Hz,19.7 kWh/day,"Full loadof crunchy bacon,Full loadof grilled pork chops,Full loadof steamed rice,Full loadof steamed potatoes,Full load of roasted chickens (1.3kg),Full loadof sea bass fillet (0.3kg),Full loadof frozen demi-baguettes","7 minutes,10 minutes,26 minutes,28 minutes,41 minutes,12 minutes,14 minutes","DDC.Ai,DDC.App,DDC.Unox.com,DDC.Stats","Your virtual consultant.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro MASTER,XEFR-03HS-EMRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-master-xefr-03hs-emrv/,"BAKERLUX SHOP.ProMASTERputs the exclamation mark on cooking performance, advanced possibilities of automatic programs, artificial intelligence and internet connection. All this within your commercial space.","2,110.00",Commercial convection ovens with humidity,"7"" Touch control panel",Electric,600 mm,669 mm,427 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,EFFICENT.Power,ADAPTIVE.Cooking,CLIMALUX,SMART.Preheating,AUTO.Soft,AUTO.Matic,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Power and efficiency.,Perfect results. Every time.,Total humidity control.,Intelligent preheating.,Gentle cooking function.,Automatic door opening.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etdp/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","1,560.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,425 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etdv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","1,540.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,425 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etrv/,"BAKERLUX SHOP.Pro TOUCHis the range of ovens designed for baking frozen bakery products in commercial environments, where timing is crucial and volumes are vast.","1,830.00",Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600 mm,669 mm,427 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
BAKERLUX SHOP.Pro LED,XEFR-03HS-ELDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03hs-eldv/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,360.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600 mm,669 mm,425 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro LED,XEFR-03HS-ELDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03hs-eldp/,BAKERLUX SHOP.ProLEDis the perfect solution for users looking for an easy-to-use tool that can also provide answers to the needs of pastry.,"1,380.00",Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600 mm,669 mm,425 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform."
BAKERLUX SHOP.Pro GO,XEFR-03HS-EGDN,https://unox.com/en_fr/ovens/bakerlux-shoppro-go-xefr-03hs-egdn/,BAKERLUX SHOP.Pro GOis a tireless convection oven designed to efficiently bake frozen croissants and bread.,"1,210.00",Commercial convection ovens,Control panel with 7-segment display,Electric,600 mm,669 mm,425 mm,36 kg,3,460x330,75 mm,220-240V 1~,3 kW,50 / 60 Hz,3.5 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,AIR.Plus","Extracting humidity for maximum flavour.,Transmit, unite, transform."
BAKERLUX SHOP.Pro MASTER,XEFR-03EU-EMRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-master-xefr-03eu-emrv/,"BAKERLUX SHOP.ProMASTERputs the exclamation mark on cooking performance, advanced possibilities of automatic programs, artificial intelligence and internet connection. All this within your commercial space.","2,830.00",Commercial convection ovens with humidity,"7"" Touch control panel",Electric,800 mm,811 mm,427 mm,46 kg,3,600x400,75 mm,220-240V 1~,"3,5 kW",50 / 60 Hz,6.4 kWh/day,"20semi baguette,46sweet puff pastries,52delicious cookies,48fragrant croissants,120puff-pastry pizzas,48sausage rolls","18 minutes,22 minutes,16 minutes,20 minutes,18 minutes,21 minutes","DRY.Plus,STEAM.Plus,AIR.Plus,EFFICENT.Power,ADAPTIVE.Cooking,CLIMALUX,SMART.Preheating,AUTO.Soft,AUTO.Matic,DDC.App,DDC.Unox.com,DDC.Stats","Extracting humidity for maximum flavour.,On-demand humidity for perfect baking.,Transmit, unite, transform.,Power and efficiency.,Perfect results. Every time.,Total humidity control.,Intelligent preheating.,Gentle cooking function.,Automatic door opening.,Everything at your fingertips.,Data collection and analysis.,Monitored for constant improvement."
