name,code,url,DRY.Maxi,STEAM.Maxi22 l/sec,AIR.Maxi,ADAPTIVE.Cooking,AIR.Plus,SMART.Preheating,Dry.Maxi45 m3/h,STEAM.Plus,AUTO.Soft,DRY.Plus,Air.Maxi250 km/h,DDC.Ai,STEAM.Maxi,DDC.App,STEAM.Maxi14 l/sec,DDC.Unox.com,CLIMALUX,AUTO.Matic,DDC.Stats,SENSE.Klean,EFFICENT.Power,analog_control,high_productivity,professional_use,hot_fridge,automatic_cycles,internet_connection,baking_frozen_products,designed_commercial,compact_oven,self_cleaning,price,type,panel,powersupply,width,depth,height,weight,trays,traysize,distancebetweentrays,voltage,electricpower,frequency,consumption
CHEFTOP MIND.Maps COUNTERTOP PLUS,XEVC-0311-EPRM,https://unox.com/en_fr/ovens/cheftop-mindmaps-plus-xevc-0311-eprm/,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4600.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,538.00,56.00,3.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1~,5.00,50 / 60 Hz,16.00
CHEFTOP MIND.Maps COUNTERTOP ONE,XEVC-0311-E1RM,https://unox.com/en_fr/ovens/cheftop-mindmaps-one-xevc-0311-e1rm/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3900.00,Commercial countertop combi ovens,"9.5"" Touch control panel",Electric,750.00,783.00,538.00,54.00,3.00,GN 1/1,67.00,380-415V 3N~ / 220-240V 3~ / 220-240V 1N~,5.00,50 / 60 Hz,19.70
BAKERLUX SHOP.Pro MASTER,XEFR-03HS-EMRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-master-xefr-03hs-emrv/,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2110.00,Commercial convection ovens with humidity,"7"" Touch control panel",Electric,600.00,669.00,427.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etdp/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1560.00,Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600.00,669.00,425.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etdv/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1540.00,Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600.00,669.00,425.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro TOUCH,XEFR-03HS-ETRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03hs-etrv/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1830.00,Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,600.00,669.00,427.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro LED,XEFR-03HS-ELDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03hs-eldv/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1360.00,Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600.00,669.00,425.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro LED,XEFR-03HS-ELDP,https://unox.com/en_fr/ovens/bakerlux-shoppro-led-xefr-03hs-eldp/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1380.00,Commercial convection ovens with humidity,Control panel with 7-segment display,Electric,600.00,669.00,425.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro GO,XEFR-03HS-EGDN,https://unox.com/en_fr/ovens/bakerlux-shoppro-go-xefr-03hs-egdn/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1210.00,Commercial convection ovens,Control panel with 7-segment display,Electric,600.00,669.00,425.00,36.00,3.00,460x330,75.00,220-240V 1~,3.00,50 / 60 Hz,3.50
BAKERLUX SHOP.Pro MASTER,XEFR-03EU-EMRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-master-xefr-03eu-emrv/,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2830.00,Commercial convection ovens with humidity,"7"" Touch control panel",Electric,800.00,811.00,427.00,46.00,3.00,600x400,75.00,220-240V 1~,3.50,50 / 60 Hz,6.40
BAKERLUX SHOP.Pro TOUCH,XEFR-03EU-ETDV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03eu-etdv/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2110.00,Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,800.00,811.00,425.00,46.00,3.00,600x400,75.00,220-240V 1~,3.50,50 / 60 Hz,6.40
BAKERLUX SHOP.Pro TOUCH,XEFR-03EU-ETRV,https://unox.com/en_fr/ovens/bakerlux-shoppro-touch-xefr-03eu-etrv/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2540.00,Commercial convection ovens with humidity,"2.4"" Touch control panel",Electric,800.00,811.00,427.00,46.00,3.00,600x400,75.00,220-240V 1~,3.50,50 / 60 Hz,6.40
